Country Name,Continent,Country Code,GDP_1960,GDP_1961,GDP_1962,GDP_1963,GDP_1964,GDP_1965,GDP_1966,GDP_1967,GDP_1968,GDP_1969,GDP_1970,GDP_1971,GDP_1972,GDP_1973,GDP_1974,GDP_1975,GDP_1976,GDP_1977,GDP_1978,GDP_1979,GDP_1980,GDP_1981,GDP_1982,GDP_1983,GDP_1984,GDP_1985,GDP_1986,GDP_1987,GDP_1988,GDP_1989,GDP_1990,GDP_1991,GDP_1992,GDP_1993,GDP_1994,GDP_1995,GDP_1996,GDP_1997,GDP_1998,GDP_1999,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,GDP_2023,GDP_2024,POP_1960,POP_1961,POP_1962,POP_1963,POP_1964,POP_1965,POP_1966,POP_1967,POP_1968,POP_1969,POP_1970,POP_1971,POP_1972,POP_1973,POP_1974,POP_1975,POP_1976,POP_1977,POP_1978,POP_1979,POP_1980,POP_1981,POP_1982,POP_1983,POP_1984,POP_1985,POP_1986,POP_1987,POP_1988,POP_1989,POP_1990,POP_1991,POP_1992,POP_1993,POP_1994,POP_1995,POP_1996,POP_1997,POP_1998,POP_1999,POP_2000,POP_2001,POP_2002,POP_2003,POP_2004,POP_2005,POP_2006,POP_2007,POP_2008,POP_2009,POP_2010,POP_2011,POP_2012,POP_2013,POP_2014,POP_2015,POP_2016,POP_2017,POP_2018,POP_2019,POP_2020,POP_2021,POP_2022,POP_2023,POP_2024
Aruba,North America,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136,,54922,55578,56320,57002,57619,58190,58694,58990,59069,59052,58950,58781,58047,58299,58349,58295,58368,58580,58776,59191,59909,60563,61276,62228,62901,61728,59931,59159,59331,60443,62753,65896,69005,73685,77595,79805,83021,86301,88451,89659,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107624
Africa Eastern and Southern,Africa,AFE,24209933141,24963256383,27078015031,31774831212,30284919141,33812194393,36933907897,38451060071,41749510603,47056941587,47602358397,52197888096,56735886019,73096340027,89551627351,95312337397,96023171890,1.09E+11,1.24E+11,1.42E+11,1.79E+11,1.85E+11,1.78E+11,1.86E+11,1.70E+11,1.49E+11,1.61E+11,1.90E+11,2.07E+11,2.21E+11,2.57E+11,2.77E+11,2.41E+11,2.40E+11,2.44E+11,2.73E+11,2.74E+11,2.88E+11,2.69E+11,2.65E+11,2.87E+11,2.61E+11,2.68E+11,3.56E+11,4.43E+11,5.17E+11,5.80E+11,6.66E+11,7.14E+11,7.15E+11,8.49E+11,9.45E+11,9.53E+11,9.62E+11,9.79E+11,8.98E+11,8.29E+11,9.73E+11,1.01E+12,1.01E+12,9.33E+11,1.09E+12,1.19E+12,1.18E+12,1.29E+12,130075728,133534923,137171659,140945536,144904094,149033472,153281203,157704381,162329396,167088245,171984985,177022314,182126556,187524135,193186642,198914573,204802976,210680842,217074286,223974122,230792729,238043099,245822010,253644643,261458202,269450407,277621771,286067346,294498625,302939121,311748681,320442961,329082707,338324002,347441809,356580375,366138524,375646235,385505757,395750933,406156661,416807868,427820358,439173286,450928044,463076637,475606210,488580707,502070763,516003448,530308387,544737983,559609961,575202699,590968990,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764,769294618
Afghanistan,Asia,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17152234637,,9035043,9214083,9404406,9604487,9814318,10036008,10266395,10505959,10756922,11017409,11290128,11567667,11853696,12157999,12469127,12773954,13059851,13340756,13611441,13655567,13169311,11937581,10991378,10917982,11190221,11426852,11420074,11387818,11523298,11874088,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Africa Western and Central,Africa,AFW,11905107707,12708033250,13630920944,14469258365,15803936677,16921238012,18034328958,16493846012,17022944325,19301601791,26697431082,24497038201,29489666871,36891334761,49688193509,57280847676,68386320279,71790695366,78779099935,96682239333,1.21E+11,2.17E+11,1.96E+11,1.51E+11,1.31E+11,1.38E+11,1.09E+11,1.12E+11,1.11E+11,1.04E+11,1.24E+11,1.30E+11,1.25E+11,1.30E+11,1.35E+11,2.07E+11,2.63E+11,2.76E+11,2.96E+11,1.39E+11,1.42E+11,1.50E+11,1.79E+11,2.08E+11,2.59E+11,3.17E+11,4.03E+11,4.72E+11,5.75E+11,5.15E+11,6.06E+11,6.91E+11,7.48E+11,8.44E+11,9.04E+11,7.78E+11,7.00E+11,6.94E+11,7.78E+11,8.33E+11,7.97E+11,8.58E+11,8.94E+11,8.15E+11,6.70E+11,97630925,99706674,101854756,104089175,106388440,108772632,111246953,113795019,116444636,119203521,122086536,125072948,128176494,131449942,134911581,138569918,142337272,146258576,150402616,154721711,159166518,163762473,168585118,173255157,177880746,182811038,187889141,193104347,198485027,204062274,209566031,215178709,221191375,227246778,233360104,239801875,246415446,253207584,260297834,267506298,274968446,282780717,290841795,299142845,307725100,316588476,325663158,334984176,344586109,354343844,364358270,374790143,385360349,396030207,406992047,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589,521764076
Angola,Africa,AGO,,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7554065410,7072536109,8084412414,8769836769,10201780977,11229515599,10603784541,8307810974,5768720422,4438321017,5538749260,7526421519,7648380196,6506221616,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,1.12E+11,1.28E+11,1.32E+11,1.36E+11,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.04E+11,84875162197,80396942242,5231654,5301583,5354310,5408320,5464187,5521981,5581386,5641807,5702699,5763685,5852788,5991102,6174262,6388528,6613367,6842947,7074664,7317829,7576734,7847207,8133872,8435607,8751648,9082983,9425917,9779120,10139450,10497858,10861291,11238562,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Albania,Europe,ALB,,,,,,,,,,,,,,,,,,,,,1578102105,1808177156,1861163170,1881412587,1857337995,1897050117,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950864,2905092799,3234486232,2293666030,2600356999,3283941510,3584570165,4059064033,4515003117,5801712040,7406645793,8256658250,9150528132,11116937870,13258506375,12335540656,12086545641,12973755875,12246499748,12796985886,13296322588,11470171827,11988668785,13258268436,15379508330,15585111614,15241455556,18032009220,19017244117,23547180412,27177735528,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Andorra,Europe,AND,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1240295103,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573,3785067332,4039844390,9510,10283,11086,11915,12764,13634,14626,15837,17176,18555,19977,21442,22957,24523,26130,27773,29436,31097,32735,34306,35782,37169,38764,40565,42273,43825,45734,47653,49416,50620,52597,56667,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938
Arab World,Asia,ARB,,19997084375,20327670812,22362957746,24811627226,26769289696,28349126512,30598797626,34970677299,38561008452,43091222311,49926770850,59966658269,79125367985,1.52E+11,1.68E+11,2.10E+11,2.42E+11,2.65E+11,3.58E+11,4.86E+11,4.95E+11,4.63E+11,4.37E+11,4.40E+11,4.33E+11,4.05E+11,4.31E+11,4.29E+11,4.57E+11,6.42E+11,4.68E+11,4.68E+11,4.79E+11,5.00E+11,5.28E+11,5.71E+11,6.15E+11,5.99E+11,6.65E+11,7.63E+11,7.45E+11,7.47E+11,8.30E+11,9.87E+11,1.21E+12,1.44E+12,1.67E+12,2.12E+12,1.83E+12,2.16E+12,2.57E+12,2.81E+12,2.87E+12,2.93E+12,2.57E+12,2.52E+12,2.60E+12,2.91E+12,2.95E+12,2.60E+12,3.08E+12,3.74E+12,3.61E+12,3.70E+12,91540853,93931683,96428599,99038509,101729760,104494008,107403055,110491709,113712171,117053219,120469263,123950810,127535560,131335660,135282861,139495837,144014135,148599336,153568663,159054118,164657321,170015485,175370356,180973288,186733957,192563243,198509771,204524595,210269696,215969068,223184294,228402316,234321565,240926205,247626514,253952538,260229121,266565183,273094199,279709634,286548096,293580252,300691509,307815105,315060277,322628451,330526310,338947976,347684619,356386673,363568534,372054934,381030177,390954281,400231008,410190679,419808341,428315886,435998060,444281315,453723239,460646603,471352066,482105978,492579811
United Arab Emirates,Asia,ARE,,,,,,,,,,,685986701.3,939893599.6,1415086929,4231243616,11651505689,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,3.00E+11,3.61E+11,3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11,5.03E+11,5.14E+11,5.37E+11,131334,137989,144946,152211,159692,167103,173976,179700,199416,239660,286536,335027,385014,436399,489087,542856,615866,710209,809274,912010,1015700,1099855,1166370,1235305,1305996,1377911,1467383,1574244,1681788,1789851,1898220,2006626,2114730,2222093,2328188,2434662,2597564,2817410,3040421,3266009,3493575,3723590,3956826,4192457,4428967,4664790,5009100,5624635,6302664,6707058,6869838,7104538,7391448,7693031,8059440,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,10876981
Argentina,South America,ARG,15865474315,20132220375,18337691145,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,89049453088,69252328952,76961923741,78676842367,84307486837,1.04E+11,1.17E+11,88150891728,1.06E+11,1.09E+11,1.27E+11,76629728760,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.48E+11,3.86E+11,4.87E+11,6.33E+11,6.46E+11,6.33E+11,20386045,20726276,21072538,21421705,21769453,22112629,22453893,22799059,23150583,23508711,23878327,24257208,24644328,25046005,25461351,25874107,26282283,26701805,27132158,27568895,28011596,28463959,28924262,29391332,29863093,30336441,30811980,31291762,31780532,32270948,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
